1		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.613003		  0.718273		  0.794601		  0.826670		  0.864583		  0.537075		  0.583998
2		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.473397		  0.880502		  0.911224		  0.873216		  0.901042		  0.602118		  0.646277
3		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.442389		  0.917107		  0.939183		  0.905798		  0.928571		  0.622577		  0.662234
4		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.427909		  0.933925		  0.951479		  0.923700		  0.938988		  0.684029		  0.718528
5		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.420434		  0.942766		  0.957766		  0.929468		  0.947173		  0.664806		  0.707225
6		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.414644		  0.949792		  0.963055		  0.940918		  0.953125		  0.688427		  0.723404
7		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.409116		  0.956329		  0.968177		  0.939629		  0.954613		  0.676227		  0.710106
8		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.405501		  0.960654		  0.971838		  0.956910		  0.968006		  0.678499		  0.710328
9		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.404494		  0.961741		  0.972023		  0.958048		  0.970982		  0.690671		  0.723404
10		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.400661		  0.966048		  0.975721		  0.959768		  0.972470		  0.663810		  0.701463
11		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.399257		  0.967644		  0.976720		  0.957217		  0.970982		  0.680737		  0.713431
12		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.396825		  0.970647		  0.979198		  0.964409		  0.973958		  0.664142		  0.693927
13		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.396787		  0.970532		  0.979160		  0.965252		  0.975446		  0.694976		  0.726729
14		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.396021		  0.971501		  0.979771		  0.961025		  0.970238		  0.706105		  0.740691
15		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.393859		  0.974156		  0.981860		  0.970043		  0.977679		  0.688340		  0.720080
16		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.392701		  0.975568		  0.983025		  0.967137		  0.975446		  0.708960		  0.738032
17		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.391881		  0.976364		  0.983654		  0.974395		  0.982887		  0.709406		  0.741135
18		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.390962		  0.977286		  0.984024		  0.974668		  0.981399		  0.721178		  0.753546
19		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.390460		  0.977966		  0.984449		  0.976847		  0.982887		  0.711391		  0.743129
20		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.389567		  0.979165		  0.985706		  0.979065		  0.988095		  0.721396		  0.749778
21		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
