1		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.454208		  0.902618		  0.946261		  0.956283		  0.972866		  0.431274		  0.475349
2		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.391322		  0.975868		  0.985739		  0.971603		  0.981159		  0.506424		  0.539841
3		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.388730		  0.979616		  0.986988		  0.979708		  0.986524		  0.505470		  0.531873
4		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.385084		  0.984008		  0.989472		  0.981699		  0.987195		  0.506335		  0.530876
5		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.385500		  0.983688		  0.988634		  0.982666		  0.987317		  0.554600		  0.578934
6		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.384188		  0.985405		  0.989761		  0.984700		  0.988902		  0.519998		  0.540090
7		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.383020		  0.986805		  0.990691		  0.988123		  0.991768		  0.545294		  0.566733
8		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.383548		  0.986305		  0.990035		  0.986428		  0.989878		  0.551279		  0.571215
9		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.382072		  0.988095		  0.991468		  0.987194		  0.990183		  0.542632		  0.563496
10		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.383466		  0.986487		  0.989700		  0.985992		  0.989451		  0.537622		  0.557022
11		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.398502		  0.969587		  0.975896		  0.968346		  0.974098		  0.462150		  0.479831
12		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.394907		  0.973376		  0.978638		  0.959129		  0.965687		  0.413512		  0.430030
13		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.473443		  0.881534		  0.919536		  0.916975		  0.935458		  0.335541		  0.359562
14		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.416983		  0.947901		  0.960446		  0.956309		  0.968796		  0.451822		  0.486305
15		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.399751		  0.967033		  0.976521		  0.958051		  0.968796		  0.498119		  0.521663
16		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.476130		  0.878690		  0.916367		  0.935762		  0.949720		  0.344112		  0.366534
17		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.421422		  0.944714		  0.955144		  0.950605		  0.959166		  0.396191		  0.415090
18		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.411781		  0.954478		  0.963798		  0.965204		  0.974951		  0.549531		  0.577689
19		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.479467		  0.879930		  0.895813		  0.889730		  0.905961		  0.434569		  0.458416
20		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.386049		  0.982994		  0.989060		  0.985786		  0.990915		  0.572077		  0.595867
21		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.383906		  0.985645		  0.990538		  0.987351		  0.991402		  0.569174		  0.589392
22		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.382472		  0.987396		  0.991148		  0.987556		  0.990915		  0.579681		  0.597112
23		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
