1		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.886658		  0.396061		  0.597120		  0.313482		  0.431373		  0.044148		  0.091912
2		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.689682		  0.631362		  0.733762		  0.387841		  0.468750		  0.244183		  0.334559
3		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.602624		  0.735920		  0.803156		  0.441994		  0.510417		  0.282649		  0.358456
4		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.583369		  0.756761		  0.815104		  0.453740		  0.517157		  0.285302		  0.352941
5		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.536452		  0.809312		  0.865043		  0.459783		  0.515931		  0.325997		  0.400735
6		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.618707		  0.717769		  0.777880		  0.774267		  0.827206		  0.272225		  0.325368
7		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.530493		  0.817927		  0.864583		  0.745680		  0.802083		  0.342440		  0.409926
8		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.595623		  0.746798		  0.795343		  0.675082		  0.723039		  0.319010		  0.376838
9		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.517732		  0.832716		  0.872702		  0.690510		  0.745098		  0.334316		  0.389706
10		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.532575		  0.817378		  0.856311		  0.702287		  0.749387		  0.324367		  0.378676
11		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.532884		  0.817377		  0.854626		  0.673757		  0.721814		  0.336634		  0.380515
12		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.553212		  0.793190		  0.832874		  0.798816		  0.837623		  0.346691		  0.402574
13		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.522304		  0.828214		  0.865349		  0.803690		  0.843750		  0.336055		  0.380515
14		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.527046		  0.823652		  0.861213		  0.800783		  0.840686		  0.367162		  0.428309
15		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.501977		  0.852475		  0.885110		  0.794220		  0.833946		  0.374599		  0.426471
16		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.506802		  0.848752		  0.883732		  0.790429		  0.830882		  0.347623		  0.397059
17		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.528011		  0.823909		  0.858303		  0.819168		  0.849877		  0.363621		  0.409926
18		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.508741		  0.845834		  0.878217		  0.830982		  0.862745		  0.359939		  0.406250
19		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.492394		  0.863764		  0.892923		  0.822695		  0.857230		  0.384266		  0.430147
20		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.514129		  0.841072		  0.874081		  0.824578		  0.853554		  0.344209		  0.389706
21		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.569315		  0.776847		  0.812347		  0.793123		  0.829044		  0.197695		  0.227941
22		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.555647		  0.792480		  0.826900		  0.803719		  0.845588		  0.219774		  0.253676
