1		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  11.271838		  3.673464		  3.986235		  0.022740		  0.034970		  0.017616		  0.029911
2		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  11.360141		  3.569846		  3.904539		  0.998129		  1.000000		  0.997669		  1.000000
3		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  10.562441		  4.447721		  4.535566		  0.998624		  0.999359		  0.998423		  0.999038
4		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  10.511250		  4.507060		  4.558929		  0.999900		  1.000000		  0.999840		  1.000000
5		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  10.486508		  4.536225		  4.576414		  0.999965		  1.000000		  0.999881		  1.000000
6		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  10.469798		  4.556247		  4.586831		  0.999639		  0.999679		  0.999638		  0.999679
7		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  10.453138		  4.576080		  4.599330		  0.999866		  1.000000		  0.999965		  1.000000
8		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  10.445693		  4.584752		  4.604836		  0.999996		  1.000000		  0.999990		  1.000000
9		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  10.443301		  4.587526		  4.605506		  0.999992		  1.000000		  0.999990		  1.000000
10		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  10.434291		  4.597806		  4.612054		  1.000000		  1.000000		  1.000000		  1.000000
11		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  10.432014		  4.600635		  4.614360		  1.000000		  1.000000		  1.000000		  1.000000
