1		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.462968		  0.891931		  0.936510		  0.901199		  0.932256		  0.824823		  0.875000
2		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.400360		  0.965063		  0.980787		  0.969498		  0.982622		  0.715445		  0.750000
3		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.391054		  0.976437		  0.987186		  0.973268		  0.984268		  0.749635		  0.750000
4		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.391095		  0.976414		  0.986394		  0.977413		  0.987195		  0.675020		  0.687500
5		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.387696		  0.980389		  0.989121		  0.978788		  0.988537		  0.837804		  0.875000
6		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.385888		  0.982882		  0.990904		  0.974834		  0.983902		  0.811364		  0.812500
7		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.385368		  0.983345		  0.990675		  0.978126		  0.987012		  0.866560		  0.875000
8		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.385666		  0.983015		  0.990523		  0.979250		  0.987866		  0.638467		  0.687500
9		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.384427		  0.984691		  0.991742		  0.977974		  0.986951		  0.801042		  0.812500
10		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.383665		  0.985572		  0.992123		  0.977460		  0.985732		  0.805104		  0.812500
11		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.382850		  0.986531		  0.992687		  0.977073		  0.985732		  0.799378		  0.812500
12		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.384146		  0.985060		  0.991650		  0.982000		  0.989268		  0.739138		  0.750000
13		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.383271		  0.986134		  0.992062		  0.983545		  0.990732		  0.584146		  0.625000
14		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.384016		  0.985262		  0.991589		  0.986455		  0.992622		  0.766436		  0.812500
15		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.382835		  0.986711		  0.992580		  0.983573		  0.990549		  0.711764		  0.750000
16		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.382733		  0.986844		  0.992824		  0.984874		  0.991037		  0.799033		  0.812500
17		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.382465		  0.987091		  0.992839		  0.983610		  0.989939		  0.624751		  0.625000
18		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.382221		  0.987400		  0.993144		  0.983921		  0.990427		  0.732819		  0.750000
19		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.382707		  0.986734		  0.992397		  0.984429		  0.990488		  0.721794		  0.750000
20		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.382020		  0.987672		  0.993174		  0.982862		  0.989451		  0.683357		  0.687500
21		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.393774		  0.973823		  0.982585		  0.970856		  0.980193		  0.716819		  0.750000
22		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.392290		  0.975696		  0.984322		  0.971031		  0.980314		  0.770195		  0.791667
23		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.396353		  0.970945		  0.980421		  0.974208		  0.983179		  0.857326		  0.875000
24		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.393499		  0.974163		  0.982905		  0.972351		  0.982448		  0.705662		  0.708333
25		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.391719		  0.976318		  0.985099		  0.972665		  0.982082		  0.815876		  0.875000
26		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.392236		  0.975693		  0.984398		  0.975938		  0.984885		  0.812097		  0.833333
27		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.392098		  0.975903		  0.984809		  0.974773		  0.984337		  0.815519		  0.833333
28		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.391750		  0.976061		  0.985007		  0.971753		  0.981655		  0.807025		  0.833333
29		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.393287		  0.974265		  0.983651		  0.974623		  0.984215		  0.791585		  0.791667
30		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.392526		  0.975200		  0.984337		  0.973107		  0.982630		  0.817073		  0.875000
31		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.478037		  0.879788		  0.905676		  0.884567		  0.910016		  0.812695		  0.833333
32		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.466809		  0.891544		  0.916519		  0.894257		  0.919062		  0.758596		  0.791667
33		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.462158		  0.896924		  0.921366		  0.898770		  0.923347		  0.775111		  0.791667
34		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.458014		  0.901400		  0.925489		  0.900678		  0.924688		  0.891047		  0.916667
35		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.457276		  0.902005		  0.925900		  0.903777		  0.926896		  0.818136		  0.875000
36		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.454277		  0.905561		  0.929125		  0.906880		  0.929536		  0.720110		  0.750000
37		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.454076		  0.905683		  0.929320		  0.906357		  0.929060		  0.612322		  0.666667
38		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.452179		  0.907713		  0.930943		  0.907599		  0.931440		  0.670967		  0.708333
39		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.450687		  0.909359		  0.932815		  0.908012		  0.930964		  0.861547		  0.916667
40		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.452199		  0.907727		  0.931267		  0.906527		  0.929796		  0.884529		  0.916667
41		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.449951		  0.910119		  0.933009		  0.909727		  0.932869		  0.485292		  0.517430
42		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.451964		  0.907932		  0.931062		  0.916108		  0.938322		  0.496565		  0.529133
43		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.452248		  0.907687		  0.931083		  0.912700		  0.934773		  0.488829		  0.519173
44		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.450040		  0.910225		  0.933074		  0.900699		  0.923823		  0.466235		  0.495767
45		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.411973		  0.952417		  0.970838		  0.952785		  0.969962		  0.514755		  0.544074
46		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.405315		  0.960021		  0.975578		  0.962258		  0.976584		  0.524374		  0.557271
47		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.403315		  0.961959		  0.976584		  0.964171		  0.978186		  0.528119		  0.558267
48		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.399256		  0.966612		  0.980296		  0.965702		  0.978792		  0.531839		  0.562749
49		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.398061		  0.967964		  0.980490		  0.966680		  0.979095		  0.541105		  0.570219
50		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.398726		  0.967173		  0.980371		  0.969608		  0.982211		  0.530009		  0.558267
51		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.400434		  0.965686		  0.979430		  0.970013		  0.982774		  0.549210		  0.577689
52		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.395420		  0.971483		  0.983563		  0.972407		  0.984375		  0.543745		  0.572958
53		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.395998		  0.970773		  0.982990		  0.974027		  0.985587		  0.564435		  0.593875
54		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.395280		  0.971460		  0.983304		  0.973563		  0.985457		  0.558897		  0.588894
55		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.394623		  0.972219		  0.983726		  0.974145		  0.985327		  0.549671		  0.578436
56		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.445234		  0.915615		  0.936883		  0.924681		  0.943386		  0.500112		  0.529382
57		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.433024		  0.928878		  0.947347		  0.932553		  0.950009		  0.496252		  0.520667
58		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.473557		  0.884301		  0.908924		  0.887060		  0.911881		  0.484221		  0.512948
59		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.451004		  0.909076		  0.931722		  0.910331		  0.933085		  0.476529		  0.505976
60		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.452101		  0.907890		  0.931386		  0.910555		  0.934254		  0.471453		  0.504731
61		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.450812		  0.909399		  0.931614		  0.910554		  0.933648		  0.476152		  0.505976
62		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.453371		  0.906168		  0.929211		  0.914826		  0.937457		  0.485483		  0.517430
63		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.453354		  0.906601		  0.929698		  0.914592		  0.937240		  0.481637		  0.512948
64		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.450649		  0.909385		  0.932241		  0.911626		  0.934730		  0.477721		  0.509213
65		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.451054		  0.909057		  0.931830		  0.912650		  0.934903		  0.474973		  0.504233
66		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.450898		  0.908808		  0.931462		  0.910407		  0.932566		  0.476350		  0.508466
67		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.451159		  0.909171		  0.932295		  0.909637		  0.931787		  0.476355		  0.508217
68		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.450107		  0.910286		  0.933118		  0.911065		  0.933864		  0.479741		  0.512450
69		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.458923		  0.900214		  0.924082		  0.911135		  0.933475		  0.478516		  0.509213
70		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.458674		  0.900285		  0.923909		  0.908799		  0.931700		  0.477212		  0.507470
71		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.448113		  0.912233		  0.935238		  0.912362		  0.934124		  0.471145		  0.503486
72		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.449951		  0.910370		  0.933464		  0.908067		  0.930964		  0.477641		  0.508964
73		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.450313		  0.909836		  0.932739		  0.909496		  0.932782		  0.465893		  0.498506
74		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.450997		  0.909001		  0.931646		  0.910606		  0.933951		  0.863314		  0.875000
75		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.450728		  0.909359		  0.932295		  0.908079		  0.930358		  0.731233		  0.750000
76		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.449329		  0.911162		  0.933951		  0.909868		  0.933518		  0.791191		  0.833333
77		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.452441		  0.907377		  0.930315		  0.904422		  0.928194		  0.795883		  0.833333
78		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.450269		  0.910082		  0.932360		  0.911590		  0.934470		  0.746393		  0.791667
79		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.451213		  0.909226		  0.932425		  0.909137		  0.931917		  0.696460		  0.708333
80		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.451332		  0.908506		  0.931754		  0.906334		  0.928973		  0.772261		  0.791667
81		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.451049		  0.909001		  0.931873		  0.909628		  0.932436		  0.819815		  0.833333
82		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.450268		  0.909571		  0.932750		  0.910668		  0.933778		  0.680512		  0.708333
83		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.449832		  0.910485		  0.933594		  0.906670		  0.930315		  0.704000		  0.750000
84		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.450780		  0.909474		  0.932436		  0.911026		  0.934254		  0.764789		  0.791667
85		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.448763		  0.911579		  0.934113		  0.907768		  0.931267		  0.859810		  0.875000
