1		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.459955		  0.895082		  0.930012		  0.941990		  0.957020		  0.630652		  0.668825
2		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.408104		  0.957247		  0.968014		  0.949578		  0.960829		  0.605205		  0.631723
3		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.403371		  0.963321		  0.971520		  0.957768		  0.966110		  0.670699		  0.692978
4		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.400136		  0.967035		  0.974030		  0.964347		  0.971390		  0.702818		  0.721365
5		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.397156		  0.970572		  0.976941		  0.965785		  0.972602		  0.679651		  0.700448
6		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.395591		  0.972538		  0.978186		  0.970091		  0.976281		  0.723897		  0.740787
7		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.396127		  0.972133		  0.977872		  0.976418		  0.981432		  0.717905		  0.733815
8		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.391972		  0.976772		  0.981811		  0.976336		  0.981129		  0.724507		  0.740538
9		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.392548		  0.976092		  0.980988		  0.975697		  0.980350		  0.724776		  0.741534
10		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.392293		  0.976346		  0.981096		  0.976999		  0.981821		  0.710361		  0.726345
11		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.393947		  0.974507		  0.979625		  0.974369		  0.979138		  0.736925		  0.752241
12		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.398317		  0.969889		  0.975253		  0.975647		  0.980306		  0.723569		  0.738795
13		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.392966		  0.975774		  0.980642		  0.976128		  0.981129		  0.726965		  0.742779
14		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.391421		  0.977394		  0.981962		  0.975552		  0.980350		  0.726739		  0.742779
15		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.393973		  0.974441		  0.979581		  0.976312		  0.980783		  0.715035		  0.730329
16		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.452775		  0.911362		  0.920396		  0.916122		  0.924991		  0.655809		  0.673307
17		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.448778		  0.915368		  0.924172		  0.916164		  0.924732		  0.651511		  0.670319
18		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.447138		  0.917217		  0.926185		  0.914621		  0.923260		  0.649883		  0.668327
19		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.447424		  0.916949		  0.925665		  0.912352		  0.922005		  0.653439		  0.672560
20		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.449491		  0.914874		  0.923902		  0.920185		  0.928887		  0.652071		  0.670319
21		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.451094		  0.913098		  0.922246		  0.916550		  0.925164		  0.646503		  0.663098
