1		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.440751		  0.918152		  0.940113		  0.912930		  0.935877		  0.577823		  0.616319
40		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.445072		  0.912976		  0.936294		  0.913081		  0.939123		  0.594447		  0.635417
41		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.451469		  0.906313		  0.933516		  0.897873		  0.920363		  0.505232		  0.538194
42		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.447310		  0.910714		  0.934761		  0.906859		  0.935484		  0.466946		  0.503472
43		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.450966		  0.906176		  0.931773		  0.910245		  0.932460		  0.445418		  0.482639
44		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.442427		  0.916830		  0.939990		  0.906854		  0.931452		  0.466475		  0.505208
45		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.444227		  0.912862		  0.938745		  0.920016		  0.941532		  0.450868		  0.491319
46		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.436757		  0.921902		  0.942729		  0.921144		  0.940524		  0.471474		  0.510417
47		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.435166		  0.924037		  0.945966		  0.928442		  0.950605		  0.463196		  0.501736
48		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.438274		  0.920724		  0.943974		  0.936828		  0.957661		  0.446801		  0.487847
49		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.432021		  0.928124		  0.950946		  0.939435		  0.959677		  0.407359		  0.440972
50		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.434015		  0.926730		  0.947460		  0.935668		  0.955645		  0.438437		  0.479167
51		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.472090		  0.882844		  0.910772		  0.872729		  0.903226		  0.559762		  0.605903
52		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.472241		  0.883729		  0.911977		  0.889104		  0.918548		  0.529659		  0.565972
53		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.478457		  0.875717		  0.905949		  0.884869		  0.912903		  0.518707		  0.557292
54		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.473696		  0.881433		  0.909968		  0.881984		  0.908065		  0.590844		  0.637153
55		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.471068		  0.884363		  0.911576		  0.894562		  0.918548		  0.571349		  0.614583
56		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.464135		  0.891485		  0.920418		  0.876437		  0.904032		  0.549511		  0.592014
57		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.471432		  0.884382		  0.914590		  0.881443		  0.912903		  0.549756		  0.590278
58		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.466120		  0.891471		  0.919815		  0.886799		  0.919355		  0.547617		  0.590278
59		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
